FID IID PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
MAYO_15387 MAYO_15387 -0.0061 -0.0100 -0.0062 -0.0020 0.0005 -0.0014 -0.0023 -0.0040 -0.0025 -0.0069
MAYO_15755 MAYO_15755 -0.0059 -0.0082 0.0002 0.0047 -0.0121 -0.0132 -0.0019 0.0162 0.0007 0.0012
MAYO_15756 MAYO_15756 -0.0097 -0.0113 -0.0007 -0.0041 0.0100 0.0016 0.0210 0.0151 -0.0504 -0.0079
MAYO_16509 MAYO_16509 -0.0189 -0.0091 -0.0021 -0.0138 -0.0277 -0.0079 0.0091 0.0286 0.0089 -0.0380
MAYO_16617 MAYO_16617 -0.0081 -0.0036 0.0126 -0.0095 0.0193 0.0189 -0.0523 0.0112 -0.0105 0.0553
MAYO_16805 MAYO_16805 -0.0033 -0.0066 -0.0073 -0.0019 -0.0077 -0.0011 0.0104 -0.0229 0.0002 0.0038
MAYO_16806 MAYO_16806 -0.0074 -0.0051 -0.0016 0.0051 -0.0157 -0.0102 0.0029 0.0331 -0.0308 0.0026
MAYO_16891 MAYO_16891 0.0469 0.0118 0.1171 0.1008 -0.0402 0.0300 -0.0137 -0.1139 -0.0661 -0.1128
MAYO_17168 MAYO_17168 -0.0064 0.1466 -0.0270 0.0057 -0.0223 -0.0171 0.0086 0.0051 -0.0484 -0.0106
MAYO_17507 MAYO_17507 -0.0117 -0.0030 0.0308 -0.0071 0.0656 -0.0137 -0.0804 0.0393 -0.0189 -0.0147
MAYO_17566 MAYO_17566 -0.0077 0.0028 0.0068 -0.0117 0.0120 0.0483 -0.0299 -0.0168 -0.0137 0.0238
MAYO_17703 MAYO_17703 0.0008 -0.0083 -0.0020 -0.0054 0.0110 -0.0162 0.0131 -0.0207 -0.0195 -0.0025
MAYO_18187 MAYO_18187 -0.0136 -0.0081 -0.0041 0.0056 -0.0005 -0.0032 0.0116 0.0074 -0.0207 -0.0063
MAYO_18269 MAYO_18269 -0.0039 -0.0100 -0.0032 -0.0014 -0.0134 -0.0086 -0.0012 0.0204 -0.0298 -0.0036
MAYO_18910 MAYO_18910 0.0146 0.0028 0.0368 -0.0169 0.0506 0.1027 -0.0470 0.0406 -0.0420 0.0189
WGACON_195 WGACON_195 -0.0008 -0.0076 0.0004 0.0068 0.0096 0.0132 -0.0029 0.0155 -0.0404 -0.0047
MAYO_1907 MAYO_1907 -0.0073 0.0005 0.0105 0.0038 0.0285 0.0154 -0.0320 0.0428 -0.0785 0.0172
MAYO_19163 MAYO_19163 0.0582 -0.0053 0.0037 -0.0246 0.0333 0.0306 -0.0540 -0.0580 -0.1017 -0.0393
MAYO_19275 MAYO_19275 -0.0196 -0.0033 0.0101 -0.0034 -0.0220 -0.0125 -0.0020 0.0156 0.0182 -0.0074
MAYO_19486 MAYO_19486 -0.0091 -0.0073 0.0039 0.0011 0.0108 0.0212 -0.0206 -0.0404 -0.0120 0.0547
MAYO_19840 MAYO_19840 -0.0126 0.0573 -0.0172 0.0102 -0.0171 -0.0363 -0.0049 -0.0233 -0.0435 0.0388
MAYO_20626 MAYO_20626 -0.0082 -0.0074 0.0011 0.0156 -0.0006 0.0100 0.0021 -0.0429 0.0142 0.0187
MAYO_21107 MAYO_21107 -0.0104 -0.0072 -0.0042 0.0087 -0.0137 0.0074 -0.0163 -0.0218 -0.0259 0.0290
MAYO_21196 MAYO_21196 -0.0005 0.0018 0.0417 0.0022 0.1343 -0.0378 -0.1552 0.0674 0.0428 -0.0468
MAYO_21596 MAYO_21596 -0.0154 0.0409 -0.0165 -0.0073 -0.0007 -0.0254 -0.0195 -0.0690 -0.0096 0.0852
MAYO_22007 MAYO_22007 -0.0023 -0.0017 0.0182 -0.0010 0.0584 -0.0236 -0.0569 0.0142 -0.0008 0.0062
MAYO_22009 MAYO_22009 0.0059 -0.0078 0.0131 -0.0007 0.0905 -0.0375 0.0710 -0.0024 -0.0101 -0.0159
MAYO_22034 MAYO_22034 0.0061 0.1302 -0.0263 -0.0028 -0.0164 0.0765 0.0096 -0.0300 -0.0525 0.0261
MAYO_22057 MAYO_22057 -0.0083 -0.0100 -0.0031 0.0149 -0.0085 -0.0048 0.0092 0.0422 -0.0073 0.0212
MAYO_22096 MAYO_22096 -0.0163 -0.0032 0.0059 0.0085 -0.0096 0.0234 -0.0053 0.0162 0.0247 -0.0074
MAYO_22314 MAYO_22314 0.0001 -0.0065 0.0032 -0.0017 0.0144 0.0286 -0.0338 0.0077 -0.0074 0.0216
MAYO_224099 MAYO_224099 -0.0167 -0.0101 -0.0007 0.0013 -0.0252 -0.0087 -0.0029 0.0219 -0.0139 0.0024
MAYO_226004 MAYO_226004 -0.0044 0.0110 0.0184 -0.0050 0.0137 0.1184 -0.0092 0.0086 0.0141 -0.0020
MAYO_2265 MAYO_2265 -0.0193 -0.0032 0.0134 0.0221 -0.0132 -0.0153 0.0128 0.0163 0.0115 0.0225
